uid,username,password
361,machoke,123
362,machop,123
363,magby,123
364,magcargo,123
365,magikarp,123
366,magmar,123
367,magmortar,123
368,magnemite,123
369,magneton,123
370,magnezone,123
371,makuhita,123
372,malamar,123
373,mamoswine,123
374,manaphy,123
375,mandibuzz,123
376,manectric,123
377,mankey,123
378,mantine,123
379,mantyke,123
380,maractus,123
381,mareep,123
382,marill,123
383,marowak,123
384,marshtomp,123
385,masquerain,123
386,mawile,123
387,medicham,123
388,meditite,123
389,meganium,123
390,meloetta,123
391,meowstic,123
392,meowth,123
393,mesprit,123
394,metagross,123
395,metang,123
396,metapod,123
397,mew,123
398,mewtwo,123
399,mienfoo,123
400,mienshao,123
401,mightyena,123
402,milotic,123
403,miltank,123
404,mime,123
405,jr.,123
406,minccino,123
407,minun,123
408,misdreavus,123
409,mismagius,123
410,moltres,123
411,monferno,123
412,mothim,123
413,mr.,123
414,mime,123
415,mudkip,123
416,muk,123
417,munchlax,123
418,munna,123
419,murkrow,123
420,musharna,123
421,natu,123
422,nidoking,123
423,nidoqueen,123
424,nidoran,123
425,nidoran♂,123
426,nidorina,123
427,nidorino,123
428,nincada,123
429,ninetales,123
430,ninjask,123
431,noctowl,123
432,noibat,123
433,noivern,123
434,nosepass,123
435,numel,123
436,nuzleaf,123
437,octillery,123
438,oddish,123
439,omanyte,123
440,omastar,123
441,onix,123
442,oshawott,123
443,pachirisu,123
444,palkia,123
445,palpitoad,123
446,pancham,123
447,pangoro,123
448,panpour,123
449,pansage,123
450,pansear,123
451,paras,123
452,parasect,123
453,patrat,123
454,pawniard,123
455,pelipper,123
456,persian,123
457,petilil,123
458,phanpy,123
459,phantump,123
460,phione,123
461,pichu,123
462,pidgeot,123
463,pidgeotto,123
464,pidgey,123
465,pidove,123
466,pignite,123
467,pikachu,123
468,piloswine,123
469,pineco,123
470,pinsir,123
471,piplup,123
472,plusle,123
473,politoed,123
474,poliwag,123
475,poliwhirl,123
476,poliwrath,123
477,ponyta,123
478,poochyena,123
479,porygon,123
480,porygon2,123
481,porygon-z,123
482,primeape,123
483,prinplup,123
484,probopass,123
485,psyduck,123
486,pumpkaboo,123
487,pupitar,123
488,purrloin,123
489,purugly,123
490,pyroar,123
491,quagsire,123
492,quilava,123
493,quilladin,123
494,qwilfish,123
495,raichu,123
496,raikou,123
497,ralts,123
498,rampardos,123
499,rapidash,123
500,raticate,123
501,rattata,123
502,rayquaza,123
503,regice,123
504,regigigas,123
505,regirock,123
506,registeel,123
507,relicanth,123
508,remoraid,123
509,reshiram,123
510,reuniclus,123
511,rhydon,123
512,rhyhorn,123
513,rhyperior,123
514,riolu,123
515,roggenrola,123
516,roselia,123
517,roserade,123
518,rotom,123
519,rufflet,123
520,sableye,123
521,salamence,123
522,samurott,123
523,sandile,123
524,sandshrew,123
525,sandslash,123
526,sawk,123
527,sawsbuck,123
528,scatterbug,123
529,sceptile,123
530,scizor,123
531,scolipede,123
532,scrafty,123
533,scraggy,123
534,scyther,123
535,seadra,123
536,seaking,123
537,sealeo,123
538,seedot,123
539,seel,123
540,seismitoad,123
541,sentret,123
542,serperior,123
543,servine,123
544,seviper,123
545,sewaddle,123
546,sharpedo,123
547,shaymin,123
548,shedinja,123
549,shelgon,123
550,shellder,123
551,shellos,123
552,shelmet,123
553,shieldon,123
554,shiftry,123
555,shinx,123
556,shroomish,123
557,shuckle,123
558,shuppet,123
559,sigilyph,123
560,silcoon,123
561,simipour,123
562,simisage,123
563,simisear,123
564,skarmory,123
565,skiddo,123
566,skiploom,123
567,skitty,123
568,skorupi,123
569,skrelp,123
570,skuntank,123
571,slaking,123
572,slakoth,123
573,sliggoo,123
574,slowbro,123
575,slowking,123
576,slowpoke,123
577,slugma,123
578,slurpuff,123
579,smeargle,123
580,smoochum,123
581,sneasel,123
582,snivy,123
583,snorlax,123
584,snorunt,123
585,snover,123
586,snubbull,123
587,solosis,123
588,solrock,123
589,spearow,123
590,spewpa,123
591,spheal,123
592,spinarak,123
593,spinda,123
594,spiritomb,123
595,spoink,123
596,spritzee,123
597,squirtle,123
598,stantler,123
599,staraptor,123
600,staravia,123
601,starly,123
602,starmie,123
603,staryu,123
604,steelix,123
605,stoutland,123
606,stunfisk,123
607,stunky,123
608,sudowoodo,123
609,suicune,123
610,sunflora,123
